molecule_chembl_id,canonical_smiles,standard_relation,standard_units,standard_value,standard_type,units,value,strain
MB1,O=C(C1=CC=CC=C1OC)/C=C/C2=NC=CC=C2,=,nM,2000,IC50,uM,2,3D7
MB2,O=C(C1=CC=CC=C1OC)/C=C/C2=CC=CN=C2,=,nM,17380,IC50,uM,17.38,3D7
MB3,O=C(C1=CC=CC(OC)=C1)/C=C/C2=CC=CN=C2,=,nM,4090,IC50,uM,4.09,3D7
MB4,O=C(C1=CC=C(OC)C=C1)/C=C/C2=NC=CC=C2,=,nM,18640,IC50,uM,18.64,3D7
MB5,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=CN=C2,=,nM,4470,IC50,uM,4.47,3D7
MB6,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=NC=C2,=,nM,4630,IC50,uM,4.63,3D7
MB7,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)C(OC)=C2)=O,=,nM,11610,IC50,uM,11.61,3D7
MB8,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)C(OC)=C2)=O,=,nM,5070,IC50,uM,5.07,3D7
MB9,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4F)N=N3)C(OC)=C2)=O,=,nM,6300,IC50,uM,6.3,3D7
MB10,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=CC=C4Cl)N=N3)C(OC)=C2)=O,=,nM,12980,IC50,uM,12.98,3D7
MB11,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(Cl)C=C4)N=N3)C(OC)=C2)=O,=,nM,9730,IC50,uM,9.73,3D7
MB12,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)=C2)=O,=,nM,9110,IC50,uM,9.11,3D7
