,molecule_chembl_id,canonical_smiles,standard_value,class,MW,LogP,NumHDonors,NumHAcceptors
0,MB1,O=C(C1=CC=CC=C1OC)/C=C/C2=NC=CC=C2,2000.0,intermediate,239.274,2.9863000000000017,0.0,3.0
1,MB2,O=C(C1=CC=CC=C1OC)/C=C/C2=CC=CN=C2,17380.0,inactive,239.274,2.9863000000000017,0.0,3.0
2,MB3,O=C(C1=CC=CC(OC)=C1)/C=C/C2=CC=CN=C2,4090.0,intermediate,239.27400000000003,2.986300000000001,0.0,3.0
3,MB4,O=C(C1=CC=C(OC)C=C1)/C=C/C2=NC=CC=C2,18640.0,inactive,239.27400000000003,2.9863000000000017,0.0,3.0
4,MB5,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=CN=C2,4470.0,intermediate,239.27400000000003,2.9863000000000017,0.0,3.0
5,MB6,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=NC=C2,4630.0,intermediate,239.27400000000003,2.9863000000000017,0.0,3.0
6,MB7,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)C(OC)=C2)=O,11610.0,inactive,539.9470000000002,5.266300000000004,1.0,9.0
7,MB8,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)C(OC)=C2)=O,5070.0,intermediate,539.9470000000002,5.266300000000004,1.0,9.0
8,MB9,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4F)N=N3)C(OC)=C2)=O,6300.0,intermediate,523.4920000000002,4.752000000000003,1.0,9.0
9,MB10,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=CC=C4Cl)N=N3)C(OC)=C2)=O,12980.0,inactive,521.9570000000002,5.127200000000004,1.0,9.0
10,MB11,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(Cl)C=C4)N=N3)C(OC)=C2)=O,9730.0,intermediate,521.9570000000002,5.127200000000004,1.0,9.0
11,MB12,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)=C2)=O,9110.0,intermediate,539.9470000000002,5.266300000000004,1.0,9.0
