molecule_chembl_id,canonical_smiles,standard_value
MB1,O=C(C1=CC=CC=C1OC)/C=C/C2=NC=CC=C2,2000
MB2,O=C(C1=CC=CC=C1OC)/C=C/C2=CC=CN=C2,17380
MB3,O=C(C1=CC=CC(OC)=C1)/C=C/C2=CC=CN=C2,4090
MB4,O=C(C1=CC=C(OC)C=C1)/C=C/C2=NC=CC=C2,18640
MB5,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=CN=C2,4470
MB6,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=NC=C2,4630
MB7,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)C(OC)=C2)=O,11610
MB8,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)C(OC)=C2)=O,5070
MB9,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4F)N=N3)C(OC)=C2)=O,6300
MB10,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=CC=C4Cl)N=N3)C(OC)=C2)=O,12980
MB11,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(Cl)C=C4)N=N3)C(OC)=C2)=O,9730
MB12,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)=C2)=O,9110
MB13,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)=C2)=O,13920
MB14,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C=C4F)N=N3)=C2)=O,18220
MB15,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=CC=C4Cl)N=N3)=C2)=O,15380
MB16,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(Cl)C=C4)N=N3)=C2)=O,21110
MB17,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)C(OCC5=CN(C6=C(Cl)C=C(F)C=C6)N=N5)=C2)=O,11620
MB18,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)C(OCC5=CN(C6=CC(Cl)=C(F)C=C6)N=N5)=C2)=O,14770
MB19,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4F)N=N3)C(OCC5=CN(C6=C(F)C=C(F)C=C6)N=N5)=C2)=O,12600
MB20,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=CC=C4Cl)N=N3)C(OCC5=CN(C6=C(Cl)C=CC=C6)N=N5)=C2)=O,11970
MB21,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(Cl)C=C4)N=N3)C(OCC5=CN(C6=CC=C(Cl)C=C6)N=N5)=C2)=O,18240
MB22,O=C(C1=CC=C(C)O1)/C=C/C2=CC=C(C(O)=O)C=C2,18400
MB23,O=C(NCCNC1=CC=NC2=CC(Cl)=CC=C12)C3=CC=C(/C=C/C(C4=CC=C(C)O4)=O)C=C3,110
