,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1,MB2,O=C(C1=CC=CC=C1OC)/C=C/C2=CC=CN=C2,inactive,239.274,2.9863000000000017,0.0,3.0,4.7599502278873524
3,MB4,O=C(C1=CC=C(OC)C=C1)/C=C/C2=NC=CC=C2,inactive,239.27400000000003,2.9863000000000017,0.0,3.0,4.729554091982037
6,MB7,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)C(OC)=C2)=O,inactive,539.9470000000002,5.266300000000004,1.0,9.0,4.935167780261426
9,MB10,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=CC=C4Cl)N=N3)C(OC)=C2)=O,inactive,521.9570000000002,5.127200000000004,1.0,9.0,4.88672530753565
12,MB13,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)=C2)=O,inactive,539.9470000000002,5.266300000000004,1.0,9.0,4.856360764725457
13,MB14,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C=C4F)N=N3)=C2)=O,inactive,523.4920000000002,4.752000000000003,1.0,9.0,4.739451627363021
14,MB15,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=CC=C4Cl)N=N3)=C2)=O,inactive,521.9570000000002,5.127200000000004,1.0,9.0,4.813043664534588
15,MB16,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(Cl)C=C4)N=N3)=C2)=O,inactive,521.9570000000002,5.127200000000004,1.0,9.0,4.675511766692344
16,MB17,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C=C4Cl)N=N3)C(OCC5=CN(C6=C(Cl)C=C(F)C=C6)N=N5)=C2)=O,inactive,735.5310000000001,7.209900000000006,1.0,12.0,4.934793871945688
17,MB18,OC1=CC(OC)=CC(OC)=C1C(/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)C(OCC5=CN(C6=CC(Cl)=C(F)C=C6)N=N5)=C2)=O,inactive,735.5310000000001,7.209900000000006,1.0,12.0,4.830619504688051
